Type de bien,Localisation,Annonce,Configuration des pièces,Type de transaction,Salles de bains,Superficie,Prix,Chambres
,Ben Arous,À VENDRE APPARTEMENT S+2 AVEC CELLIER À RADES PLAGE,S+2,À Vendre,1,77,190000,2
,Tunis,Une bonne opportunité d’investir à EL MALLASIN,,À Vendre,1,47,180000,False
,Bizerte,قطعة أرض 392 متر مربع صالحة للبناء للبيع بعين مريم بنزرت شهادة ملكية فردية .,,False,False,False,950,False
,Ben Arous,À VENDRE APPARTEMENT S+2 COMPLÉTEMENT RÉNOVÉ À RADES SNIT,S+2,À Vendre,1,75,120000,2
,Sousse,S+2 meublé  a hamem sousse,S+2,À Louer,1,1,797,3
,Tunis,A louer S1 meublé haut standing à l'aouina cité wahat,,À Louer,1,90,950,1
,Ben Arous,À VENDRE APPARTEMENT S+3 DE 108M² À LA NOUVELLE MEDINA,S+3,À Vendre,2,108,290000,3
,Ben Arous,À VENDRE APPARTEMENT S+2 AU 4EME ÉTAGE À RADES (SNIT),S+2,À Vendre,1,75,85000,2
,Ben Arous,À louer appartement S+2 HST jamais habiter Mrj 6 / 98380449,S+2,À Louer,1,110,,2
,Ben Arous,À VENDRE APPARTEMENT S+2 EN PREMIER ÉTAGE À RADES PLAGE,S+2,À Vendre,1,80,200000,2
,Ben Arous,À VENDRE APPARTEMENT MODERNE S+2 EN RDC À RADES CITÉ OLYMPIQUE,S+2,À Vendre,1,70,190000,2
,Ben Arous,À VENDRE APPARTEMENT S+2 À CITÉ DISPENSAIRE DE BEN AROUS,S+2,À Vendre,1,76,100000,2
,Ben Arous,À LOUER LOCAL COMMERCIAL DE 95M² À RADES MELIANE,,À Louer,1,95,2000,1
,Ben Arous,À LOUER BUREAU H+3 AVENUE DE LA REPUBLIQUE A RADES,,À Louer,1,110,1000,3
,Ben Arous,À LOUER BUREAU H+3 AVENUE DE LA REPUBLIQUE A RADES,,À Louer,1,110,1000,3
,Ben Arous,À LOUER BUREAU H+1 PIGNON SUR RUE À RADES AVENUE KHEIREDDINE,,À Louer,1,40,770,1
,Tunis,Opportunité A vendre   S+2 haut standing à cité Wahat,S+2,À Louer,1,100,240000,1
,Tunis,étage de Villa,,À Louer,1,100,950,3
,Tunis,A louer S1 jamais habité avec PPKSS à la nouvelle soukra,,À Louer,1,90,950,1
,Tunis,Ain- zaghouan S+2 à vendre,S+2,À Vendre,1,90,200000,2
,Ariana,Chotrana Nour Jaafar Open Space 400 m,,À Louer,1,400,2500,1
,Tunis,Ain Zaghouan,,À Louer,3,180,2950,4
,Tunis,L'aouina S+2 au 2 ét à louer,S+2,À Louer,1,125,1100,2
,Tunis,Appartement meublé,,À Louer,1,80,1800,1
,Tunis,L'Aouina local 40m² a louer,,À Louer,1,40,1100,1
,Tunis,depot a sidi daoued,,False,False,False,2500,False
,Tunis,s3 richement meublé,,À Louer,2,200,2500,3
,Tunis,vente 2 appartements Diar Ben Mahmoud Agba,,À Vendre,0,150,,5
,Tunis,Laouina bureau à louer,,À Louer,1,78,800,1
,Tunis,à la vente au CITE EZZOUHOUR 3,,À Vendre,2,400,650000,6
,Tunis,vente appartement s+2 1er étage kram plage,,À Vendre,1,80,,3
,Tunis,vente villa THS Diar Ben Mahmoud,,À Vendre,2,340,564000,6
,Ariana,Appartement jamais habité Ariana Soghra,,À Louer,1,90,870,2
,Tunis,appartement a vendre,,À Vendre,1,56,190000,1
,Tunis,studio s+1,,À Louer,1,53,850,1
,Tunis,la marsa,,À Louer,1,60,1400,1
,Ariana,Ennasr S+1 meublé Tel50239923_par_nuite_et_courte_durée,S+1,À Louer,1,70,60,1
,Tunis,a louer s2 a cite wahat,,À Louer,1,110,1100,2
,Ariana,A louer appartement S +0 a riadh andalous,,À Louer,1,40,650,1
,Tunis,a louer s2 a cite wahat avec place parking ss,,À Louer,1,110,1150,2
,Tunis,un local commercial de 123 m² situé sur une route principale,,À Vendre,1,123,780000,1
,Tunis,a vendre un appartement s1 direct promoteur a l'aouina cité wahat,,À Vendre,1,48,167000,1
,Tunis,A louer S+1 jamais habité A Nouvelle Soukra,S+1,À Louer,0,0,1000,0
,Tunis,A vendre un appartement s3 a ain zaghouan ai rez-de-chaussée,,À Vendre,1,120,255000,3
,Tunis,Un bel appartement S+1 à louer,S+1,À Louer,1,60,550,2
,Tunis,a vendre un appartement s1 direct promoteur a l'aouina cité wahat,,À Vendre,1,54,185000,1
,Tunis,À louer S+2 à jardin l aouina,S+2,À Louer,0,0,1100,0
,Tunis,a vendre s+1 s+2 direct promoteur nouvelle soukra,,À Vendre,2,1,,2
,Tunis,a louer s+1 a laouina,,À Louer,1,60,850,1
,Sousse,Duplex a Bouhssina,,À Vendre,2,100,255000,1
,Sfax,ارض فلاحية,,False,False,False,120000,False
,Tunis,a vendre un appartement s4 a l'aouina cité wahat,,À Vendre,2,172,340000,4
,Tunis,a louer s+1 jamais habité avec parking,,À Louer,1,66,1100,1
,Tunis,a vendre s+2 avec place parking ss a soukra dar fathal,,À Vendre,1,108,250000,2
,Ben Arous,appartement s+1 jamais habité,,À Louer,1,70,850,2
,Tunis,JOLI S4 BIEN LUMINEUX HT STANDING à JARDINS L'AOUINA,,À Vendre,2,162,358000,4
,Sousse,Magnifique terrain de 605m à chatt meriem,,False,False,False,800,False
,Tunis,استديو مفروش جيدا في تونس العاصمة باليوم جنب محطة القطار برشلونة,,À Louer,1,40,80,1
,Tunis,Bureau en 5 especes-150m²-Montplaisir- IFCM134,,À Louer,0,150,2100,5
,Tunis,Open space -290m² - Tunis - IFCT53,,À Louer,0,290,6800,1
,Nabeul,Appartement S+3 à vendre à Hammamet Nord,S+3,À Vendre,2,300,750000,2
,Tunis,Appt haut standing s1 au kram,,À Louer,1,60,750,2
,Sfax,ارض للبيع في طريق الحزامية كلم 11(من طريق تونس في اتجاه طريق تنيور) تبعد 420 م على كياس  لمساحة 14 مرجع (رسم عربي),,False,False,False,,False
,Sfax,S +2 meublé a louer,,À Louer,1,115,111111,2
,Ben Arous,مفتاح في اليد,,False,False,False,450,False
,Ariana,Villa s5 meublée à la soukra MVL1618,,À Louer,1,1,6500,5
,Nabeul,Local Commercial à Vendre au plein centre-ville Maamoura Nabeul,,À Vendre,2,130,390000,2
,Tunis,Appartement s2 avec piscine à gammart MAL0807,,À Louer,1,1,5000,2
,Ariana,Villa s5 avec piscine à la Soukra ZVL0911,,False,False,False,5100,False
,Tunis,Villa s4 avec piscine à La Soukra MVL1628,,À Louer,1,1,5500,4
,Sfax,أرض بطريق العين كلم 12,,False,False,False,37500,False
,Sousse,Appartement a Vendre,,À Vendre,1,False,330,1
,Tunis,👉opportunité Terrain A Raoued (224m²),,False,False,False,138,False
,Ariana,A VENDRE S+1 AVEC TERRASSE 30.80 À LA SOUKRA,S+1,À Vendre,1,87,290000,1
,Nabeul,""" Villa Domino """,,À Vendre,3,500,790000,3
,Nabeul,"Villa "" Les Mouettes """,,À Vendre,4,400,1030000,4
,Ben Arous,Maison à louer,,À Louer,1,120,600,2
,Nabeul,Location villa avec piscine à Hammamet Nord,,À Louer,2,400,250,2
,Ariana,studio s+1 à ouer,,À Louer,1,50,350,2
,Sousse,A louer: S+1 Très haut Standing “Richement Meublé” en face de l’hôtel Movenpick (vue de mer),S+1,À Louer,1,75,2000,1
,Bizerte,Bureaux à Bizerte,,À Louer,1,50,,2
,Sousse,S2 Sans meuble,,À Louer,1,False,453,2
,Ariana,A louer appartement,,À Louer,2,140,820,3
,Béja,terrain,,False,False,False,,False
,Tunis,Bureau en 3 espaces -210m²- Lac 2 – IFCL274,,À Louer,0,210,4500,3
,Ariana,Menzah 8 à louer RDC villa S+3 meublé,S+3,À Louer,1,150,,3
,Ben Arous,villa megrine 420m2,,À Vendre,1,417,480000,4
,Tunis,Bureau en 5 espaces -70m²-Tunis- IFCT289,,À Louer,0,70,1100,5
,Ariana,à louer sous-sol meublé à Riadh Al Andalous,,À Louer,1,60,450,2
,Sousse,un joli appartement s+2 haut gamme haut standing,,À Louer,1,95,1000,2
,Tunis,Bureau en 5 espaces-250m²-CUN-IFCU123,,À Louer,0,250,5000,5
,Tunis,Des bureaux à louer - Ariana - IFCA144,,À Louer,0,70,1334,0
,Tunis,Bureau en 4 espaces - 172m² - CUN - IFCU55,,À Louer,0,172,2600,4
,Ariana,Jardins d'el menzah 2 ; à louer joli appt S+2,S+2,À Louer,1,110,,2
,Sousse,Rdc S+3 Sans Meubles Entouré d'un Jardin,S+3,À Louer,2,400,2000,3
,Tunis,A louer S1 jamais habité  haut standing à la nouvelle soukra,,À Louer,1,90,948,1
,Sousse,Terrain à vendre,,False,False,False,1800000,False
,Sousse,Appartement S+3 à vendre,S+3,À Vendre,1,107,210000,3
,Tunis,Un bel appartement lumineux,,À Louer,1,130,1250,3
,Bizerte,أرض بيضاء للبيع,,False,False,False,150,False
,Tunis,S+2 meublé jardin l'aouina proche lac2 pour étranger à l'année,S+2,À Louer,1,102,1250,2
,Ariana,Jardins d'el menzah 2 ; à louer joli appt S+2,S+2,À Louer,1,120,,2
,Tunis,appartement s2 meublé par nuitée à el wahat l'aouina,,À Louer,2,160,130,2
,Ben Arous,terrain à vendre à Khelidia 118m2  et 147 m2,,False,False,False,,False
,Ariana,Menzah 8 à louer spacieux appt S+3,S+3,À Louer,2,160,,3
,Bizerte,Grand Appartement s+2 à Rimmel bizerte,,À Louer,1,100,600,2
,Tunis,S+2 avec deux suites à la nouvelle soukra,S+2,À Louer,3,120,1400,2
,Tunis,A louer S0 avec jardin et Entrée indépendante   à Ain zaghouan,,À Louer,1,90,800,1
,Tunis,Studio meublé par nuitée à La Marsa,,À Louer,1,75,100,1
,Tunis,salle de sport pour location avec tous matériel,,À Louer,2,580,9500,2
,Tunis,appartement meublé studio location par jour,,À Louer,1,80,80,1
,Ariana,Studio à Ennasr 2,,À Louer,1,60,750,1
,Sousse,appartement s+3 à louer à khzema-sousse .,,À Louer,1,1,800,3
,Tunis,Appartement meublé par nuitée à el wahat l'aouina,,À Louer,1,85,100,1
,Bizerte,2 lots à vendre à cité l weha Bizerte,,False,False,False,121500,False
,Tunis,AL plateau Haut standing au Lac 2,,À Louer,4,340,11300,1
,Tunis,À louer Bureau H+4 au CENTRE URBAIN NORD,,À Louer,2,120,2600,4
,Tunis,À louer S+1 Meublé au Centre Urbain Nord,S+1,À Louer,1,65,1200,1
,Nabeul,av villa s+5de 1000m à hammamet sud 99202001,,À Vendre,2,1000,650000,5
,Sousse,S3 de 102m² jamais habité proche de la mer en vente,,À Vendre,1,101,270000,2
,Sousse,Studio en vente proche de la mer,,À Vendre,1,38,125000,1
,Nabeul,s+1 de haut standing meublé à vendre à Mrezga Hammamet,,À Vendre,1,53,,1
,Tunis,للبيع,,À Vendre,1,240,,3
,Tunis,شقة للكراء مؤثثة البحيرة 1  s+1,,À Louer,01,99,1600,01
,Ariana,a louer un etage de villa s4  a Borj El baccouche,,À Louer,2,150,1300,4
,Tunis,a louer s+2 au rez-de-chaussée à Menzah 9C,,À Louer,2,120,1500,2
,Tunis,Bureauen 5 espaces-150m²- Lac 1 – IFCL1296,,À Louer,0,150,2700,5
,Tunis,A.vendre Terrain 1220 m2 à séjoumi au bord de la route principale,,False,False,False,900000,False
,Ariana,A VENDRE S+3 DE 162 M² À CHOTRANA 1,S+3,À Vendre,2,162,495000,3
,Tunis,rez chaussée d'une villa meublé,,À Louer,2,160,1800,3
,La Manouba,كان عندك برنامج بني 50611049,,False,False,False,120,False
,Nabeul,A vendre une maison S+2  à Beni Khiar           📞𝟐𝟖𝟐𝟓𝟔𝟕𝟕𝟐📞,S+2,À Vendre,1,90,,2
,Ariana,عمارة للبيع باريانة,,À Vendre,False,False,780,False
,Ariana,A vendre un appartement de 150m² en S+4 à Ennasr,S+4,À Vendre,3,150,450000,4
,Ariana,Terrain à Ariana (344 m),,False,False,False,128,False
,Ariana,Villa en vente à Menzah 8,,À Vendre,2,486,950000,6
,Bizerte,terrain agricole a Bizerte,,False,False,False,180000,False
,Ben Arous,Mghira zone industrielle,,À Louer,6,3000,19000,10+
,Ariana,la soukra  chotrana  3,,À Vendre,3,300,1000000,5
,Tunis,La marsa,,À Louer,2,350,4000,5
,Tunis,cite le pins,,False,False,False,950000,False
,Tunis,La marsa,,À Vendre,3,657,2600000,8
,Nabeul,Hamamet,,À Vendre,3,750,830000,4
,Ariana,POLO8,,À Vendre,5,120,38500,5
,Ariana,VILLA JUMELÉE AVEC PISCINE À LASOUKRA,,À Vendre,2,295,985000,4
,Tunis,PROJET HAUT STANDING  CADRE D'EXCEPTION AUX JARDINS DE CARTHAGE,,À Vendre,1,52,296600,1
,Tunis,OPPORTUNITÉ S+3 AUX JADINS DE CARTHAGE,S+3,À Vendre,1,135,450000,3
,Sfax,2 maisons a vendre,,À Vendre,2,303,350000,5
,Nabeul,Av terrain 346m pas loin de Hammamet yasmine,,False,False,False,85001,False
,Sousse,"Villa de Plain Pied à Cité Taamir, dans un Quartier Résidentiel",,À Vendre,2,322,440000,3
,Sousse,"Villa en Coin à Cité Riadh, Idéale pour  Habitation ou Projet  Commercial",,À Vendre,3,449,580000,6
,Ariana,A VENDRE S+3 NEUF  M² À CHOTRANA I,S+3,À Vendre,2,175,575000,3
,Ariana,TERRAIN 400M² LA NOUVELLE SOUKRA,,False,False,False,560000,False
,Sousse,"(S+3) Zone Touristique Corniche , Près de la Mer avec  Place de Parking au  Sou  Sol",S+3,À Vendre,3,146,390000,3
,Sousse,(S+2) à   Cité Riadh 5,S+2,À Vendre,1,77,89000,2
,Tunis,S+2 À CITÉ LES PALMERAIES,S+2,À Vendre,1,100,260000,2
,Nabeul,un beau terrain à vendre à Hammamet nord 21.256.909,,False,False,False,,False
,Sousse,(S+1)  à Hergla,S+1,À Vendre,1,70,170000,1
,Tunis,A LOUER UN APPARTEMENT S+1 HAUT STANDING A CITE WAHAT,S+1,À Louer,1,58,1100,1
,Sousse,Immeuble (R+2) à Cité Riadh 1,,À Vendre,3,107,330000,5
,Sousse,(S+2) à Bouhsina au  rez de  Chaussée,S+2,À Vendre,1,90,94000,2
,Sfax,terrain rte taniour,,False,False,False,165000,False
,Ben Arous,villa a mourouj 6 حي البستان,,À Vendre,6,191,,9
,Tunis,À VENDRE : Villa de charme à Manar 3,,À Vendre,3,587,1800000,5
,Ben Arous,maison à loyer mourouj4,,À Louer,1,90,550,3
,Ariana,S+2 avec deux suites à laouina,S+2,À Louer,3,120,1400,2
,Ariana,location par jour cité Nasser Tunis ☎️24933824,,À Louer,1,70,70,1
,Tunis,Laouina terrain 519² à vendre,,False,False,False,,False
,Tunis,A vendre appartement à lafayette centre ville tunis,,À Vendre,1,95,240000,2
,Ariana,Nour Jaafar prés institut Esprit S+2,S+2,À Louer,1,95,800,2
,Tunis,Luxueux S+1 avec Terrasse à Menzah 9c,S+1,À Louer,1,80,1100,1
,Tunis,La marsa appartement s2 hstd,,À Louer,2,120,1450,2
,Tunis,L'Aouina étage villa meublé à louer,,À Louer,2,185,2800,3
,Tunis,Laouina local com. 50 m² mezzanine à louer,,À Louer,1,50,2000,1
,Tunis,appartement meublé studio location par jour nuitée,,À Louer,1,80,80,1
,Ariana,Duplex S+4 à la soukra chotrana 1,S+4,À Vendre,2,190,800000,4
,Ariana,Borj-Touil locaux commerciaux à vendre,,À Vendre,1,460,500000,4
,Tunis,A louer S+2 AU LAC 2,S+2,À Louer,1,103,1900,2
,Ariana,PROJET NEUF R+2 À CHOTRANA I,,À Vendre,2,149,580000,3
,Tunis,appartement meublé studio location par jour nuitée,,À Louer,1,80,80,1
,Tunis,Ain-Zaghouan nord S+4 meublé à louer,S+4,À Louer,3,200,3000,4
,Bizerte,Location garages,,À Louer,0,0,,False
,Tunis,Un étage de villa Cité Ezzouhour 4 S+2+sdb,S+2,À Vendre,0,90,150000,2
,Nabeul,A vendre: S+2 vue mer dans une residence Haut Standing avec ascenseur et piscine à l'AFH Mrezga Nabeul,S+2,À Louer,2,114,400000,2
,Ariana,appartement meublé studio location par jour nuitée,,À Louer,1,80,80,1
,Tunis,La marsa s0 au rdc,,À Louer,1,45,900,1
,Sfax,etage villa à louer,,À Louer,2,130,650,3
,Tunis,Terrain à vendre à gammarth village,,False,False,False,505000,False
,Ariana,Jardins d'el menzah 2 à louer RDJ villa S+3,S+3,À Louer,1,150,,3
,Tunis,La marsa S2 haut standing,,À Louer,2,120,1450,2
,Monastir,"Location par nuitées, jours ou semaines S+1 / S+2 Haut standing",S+1,À Louer,1,90,80,2
,Ariana,Appartement S+2,S+2,False,1,False,600,2
,Tunis,RDC S+1 richement meublée bardo,S+1,À Louer,1,100,850,-2
,Sfax,Apaprtement S+3 à Gremda km7,S+3,À Louer,1,115,800,3
,Tunis,Agence SALSABIL met en vente un appartement au khaznadar,,À Vendre,1,64,150000,2
,Ben Arous,bureaux a louer,,À Louer,1,100,620,3
,La Manouba,entrepreneurمقاول50628610,,False,False,False,70000,False
,Tunis,L’agence SALSABIL met en location deux local commercial (dépôt) Située à OUED GUERIANA,,À Louer,False,120,1800,False
,Sousse,un appartement s+2 a vendre à corniche sousse,,À Vendre,1,100,360000,2
,Tunis,Au bardo a louer,,À Louer,2,100,950,4
,Gabès,9 hectar menzel habib gabes,,False,False,False,10000,False
,Nabeul,À vendre: S+2 vue sur mer à cité el wafa  Afh mrezga,S+2,À Vendre,0,110,400000,2
,Nabeul,"Location Année Universitaire: s+1 meublé  à cité el wafa, Nabeul.",,À Louer,0,70,800,1
,Nabeul,"À vendre: S+3 de 145m² à cité el wafa,Nabeul",S+3,À Vendre,0,145,520000,3
,Ben Arous,Depot 1000 M2  Mghira Inzel,,À Louer,0,1000,4500,1
,Médenine,terrain titré a Médenine,,False,False,False,52000,False
,Ariana,villa à vendre/فيلا للبيع,,À Vendre,2,500,360,7
,La Manouba,Studio a louer manouba centre,,False,False,False,10,False
,Tunis,Très bel appartement à louer à Menzah 7 bis,,À Louer,3,230,2000,6
,Tunis,appartement meublé s1,,À Louer,1,80,65,2
,Bizerte,Terrain à Vendre à Borj Taleb Bizerte,,False,False,False,84400,False
,Tunis,opportunité de vente une villa de 3 niveaux  800m2 sur avenue principal a mutuelleville,,À Vendre,1,800,,10
,Tunis,A louer un grand étage de villa à Menzah 9 A,,À Louer,2,200,2000,4
,Ben Arous,appartement S2 a mourouj 6,,À Louer,1,100,900,2
,Tunis,A vendre Un grand S+3 à Manar 2,S+3,À Vendre,1,145,265000,3
,Sfax,APPARTEMENT MEUBLÉ Â LOUER,,À Louer,1,85,900,3
,Sousse,Appartement rénove,,À Vendre,1,75,85000,2
,Tunis,A Louer Etage de villa semi meublé à la Marsa Corniche,,À Louer,1,120,2500,2
,Tunis,local commercial,,À Vendre,0,15,100,1
,Sousse,Terrain Agricole à Kalàa-Kébira,,False,False,False,387000,False
,Tunis,appartement S+1 entièrement meublé situé dans la Résidence Panorama au Centre Urbain Nord,S+1,À Louer,False,False,1200,False
,Ariana,s3 a vendre,,À Vendre,1,117,280000,3
,Ariana,À VENDRE UNE VILLA S+7 À LA SOUKRA ( CHOTRANA 3 ),S+7,À Vendre,6,410,950000,7
,Ariana,à vendre une magnifique villa jumelée S+4 à la Soukra,S+4,À Vendre,1,240,,4
,Ariana,A LOUER UNE VILLA EN S3 A ENNASER COTE RENÉ DÉCARTE,,À Louer,1,300,1800,3
,Nabeul,A VENDRE un Terrain prés Golf  Hammamet 𝟮𝟵𝟮𝟱𝟲𝟮𝟭𝟲📞,,False,False,False,,False
,Ariana,À VENDRE UNE MAGNIFIQUE VILLA DE MAITRE À LA SOUKRA,,À Vendre,5,2000,,6
,Sfax,Studio meublé à louer,,À Louer,1,40,400,1
,Ariana,🏠 𝐄𝐍𝐍𝐀𝐒𝐑 2 ; à LOUER Agréable 𝗮𝗽𝗽𝘁 𝐒+3 Haut STG🏠,,À Louer,3,180,,3
,Tunis,À LOUER UN DUPLEX  S+3 À LA MARSA,S+3,À Louer,2,220,4500,3
,Ariana,a vendre des appartement s+2 s+3  direct promoteur,,À Vendre,2,139,,3
,Nabeul,Appartement S3 à vendre à HAMMAMET NORD,,À Vendre,2,150,650000,1
,Ariana,🏠 𝐑𝐈𝐀𝐃𝐇 𝐄𝐋 𝐀𝐍𝐃𝐀𝐋𝐎𝐔𝐒 ; 𝐚̀ 𝐥𝐨𝐮𝐞𝐫 RDC VILLA 𝐒+2 🏠,,À Louer,1,90,790,2
,Ariana,appartement à louer,,À Louer,1,65,1100,1
,Ariana,Etage de villa en s+5 a cité el ghazela,,À Louer,3,200,1400,5
,Ariana,Maison sur deux niveaux indépendants à La Soukra,,À Vendre,2,240,440000,4
,Tunis,Villa à vendre à La Marsa cité des pins,,À Vendre,4,662,1800,8
,Ben Arous,S+2 HS à louer à Mourouj 6,S+2,À Louer,2,147,900,2
,Ben Arous,a vendre appartement s+2,,À Vendre,1,110,220000,3
,Ben Arous,Local 300 m² au 1ère étage,,À Louer,1,300,1100,1
,Ariana,Riadh El Andalous à louer étage Villa S+3,S+3,À Louer,1,150,999,3
,Ben Arous,S+2 sur Le GP1,S+2,À Vendre,1,80,125000,1
,Tunis,A Louer S+2 au Lac 1,S+2,À Louer,2,110,1400,2
,Tunis,villa bureautique a louer à Alain Savary,,À Louer,3,600,4500,6
,Ben Arous,S+3 HST a vendre,S+3,À Vendre,2,130,360000,1
,Ben Arous,Terrain 341m² à zaouia mornag,,False,False,False,580,False
,Ben Arous,Appartement S+2 a boumhel bassatine 1,S+2,À Louer,1,100,800,2
,Ben Arous,A vendre Terrain a Ezzahra,,False,False,False,600,False
,Tunis,A Louer S+1 Meublé avec vue dégagée à Sidi Daoud,S+1,À Louer,1,80,1950,1
,Ariana,A Vendre Villa à Ennasr 2,,À Vendre,3,420,1200000,4
,Sousse,S+3,S+3,À Louer,1,130,1498,3
,Ben Arous,A Vendre Appartement Rdc  S+2 Mourouj 5,S+2,À Vendre,1,77,,2
,Sousse,S+3 avec jardin proche de la mer,S+3,À Vendre,2,255,430000,3
,Ariana,S+1 en Vente,S+1,À Vendre,2,False,285000,1
,Monastir,A Skanes -Un rez de chaussée sur route principale,,À Louer,1,70,500,0
,Ariana,S+3 à Nour jafer,S+3,À Vendre,1,120,140000,3
,Tunis,S2 meublé proche lac2  jardin l'aouina à l'année pour étranger,,À Louer,1,105,1250,2
,Monastir,S plus Un meublé à la Falaise,,À Louer,1,70,949,1
,Ariana,S+2 à Nkhilette,S+2,À Louer,1,85,750,2
,Bizerte,"Une super ferme Aousja , Ghar EL MELEH",,False,False,False,650000,False
,Ariana,DUPLEX  de 207m² à Cité sahafa,,À Vendre,2,207,249000,4
,Ariana,S+2 à  La Petite Ariana,S+2,À Vendre,1,98.48,280000,2
,Ariana,Maison jumelée en vente à Cité Ghazela,,À Vendre,2,279,470000,3
,Tunis,Terrain à vendre à Carthage Salambo,,False,False,False,,False
,Monastir,Un terrain pour construction d'une villa au Golf Palm Links,,False,False,False,760000,False
,Monastir,Un S plus Trois meublé  Haut Standing,,À Louer,1,180,1700,3
,Ariana,Appartement en s+3 à Ariana soghra,,À Vendre,2,135,250000,3
,Monastir,Terrain pour construction d'une villa,,False,False,False,300000,False
,Nabeul,Terrain à vendre à Kélibia avec PRIX CHOC,,False,False,False,85000,False
,Monastir,Grande Villa meublée en centre ville de Monastir,,À Louer,2,400,1400,4
,Monastir,S plus Un standing pour bureau,,À Louer,1,60,450,1
,Monastir,Maison indépendante pour la vente,,À Vendre,01,130,230000,02
,Monastir,A vendre s plus deux,,À Vendre,1,75,150000,2
,Monastir,Villa meublée à skanes,,À Louer,1,250,900,3
,Monastir,Villa proche de la mer à vendre,,À Vendre,3,208,315000,5
,Monastir,Local commercial sur la route principal,,À Louer,1,1970,4000,6
,Mahdia,Appartement DIRECT PROMOTEUR VUE DE MER,,À Vendre,False,False,,False
,Monastir,Location S plus 1 haut standing courte et moyenne période,,À Louer,1,60,888888888888888,1
,Nabeul,Majestueuse et luxueuse villa à vendre 1er position à la plage hamem ghzez,,À Vendre,4,320,,3
,Monastir,Location S plus 2 haut standing courte et moyenne période,,À Louer,1,100,8888888886,2
,Monastir,"Immeuble semi-inachevé à Chraf, à 2 pas de la mer",,False,False,False,400000,False
,Monastir,Appartement à  Vendre à l'R6,,À Vendre,1,102,170000,2
,Monastir,S plus un à frina,,À Vendre,1,64,125000,1
,Monastir,Appaartement S+2 à TEBOULBA,S+2,À Vendre,02,105,110000,02
,Sousse,Appartement S+3 à louer – Hammam Sousse,S+3,À Louer,2,False,1400,3
,Nabeul,"A vendre à Hammamet, 3 km de la plage ,une villa S+4 de plain-pied",S+4,À Vendre,4,500,830000,2
,Monastir,Une semaine dans une belle villa meublée,,À Louer,3,350,1400,4
,Monastir,Terrain pour villa à la zone touristique de Monastir,,False,False,False,675000,False
