Type de bien,Localisation,Annonce,Configuration des pièces,Type de transaction,Salles de bains,Superficie,Prix,Chambres
,Ben Arous,À VENDRE MAISON R+1 À RADES,,À Vendre,3,341,650000,6
,Tunis,S+2 meublé proche lac2 Jardin laouina pr étranger à l'année,S+2,À Louer,1,102,1250,2
,Ben Arous,À VENDRE MAISON R+1 À RADES MELIANE,,À Vendre,5,650,1000000,8
,Ben Arous,À VENDRE MAISON STYLE AMÉRICAIN S+3 À RADES PLAGE,S+3,À Vendre,2,201,540000,3
,Ariana,à vendre un triplex à la Soukra,,À Vendre,5,374,,4
,Tunis,وسيط عقاري,,À Vendre,1,1,,1
,Ben Arous,À VENDRE IMMEUBLE DE RAPPORT R+3 À RADES PLAGE,,À Vendre,5,550,800000,12
,Ben Arous,À VENDRE IMMEUBLE R+2 À RADES MELIANE 2,,À Vendre,4,206,650000,8
,Ben Arous,À VENDRE IMMEUBLE R+2 EN FLANC DE MONTAGNE À HAMMAM-LIF,,À Vendre,3,383,550000,6
,Ben Arous,À VENDRE FOND DE COMMERCE SUR L’AVENUE HABIB BOURGUIBA DE MEGRINE,,À Vendre,1,180,750000,1
,Monastir,Local industriel,,À Vendre,1,332,410000,4
,Bizerte,Appartement rdc  à jarzouna Bizerte,,À Vendre,1,120,65000,3
,Bizerte,terrain constructible à vendre à cité el weha Bizerte,,False,False,False,158400,False
,Sousse,Appartement meublé a khzema,,À Louer,1,1,700,-1
,Ben Arous,À VENDRE FOND DE COMMERCE ATELIER DE TÔLERIE ET PEINTURE À BEN AROUS,,À Vendre,1,1000,90000,1
,Ben Arous,À VENDRE DÉPÔT SITUÉ EN ZONE INDUSTRIELLE DE RADES,,À Vendre,1,5500,,1
,Ben Arous,À VENDRE BUREAU H+3 À RADES AV HABIB BOURGUIBA,,À Vendre,1,78,165000,3
,Ben Arous,À VENDRE BUREAU H+2 À RADES AVENUE HABIB BOURGUIBA,,À Vendre,1,65,145000,2
,Nabeul,À VENDRE APPARTEMENT S+4 HAUT STANDING À HAMMAMET MREZGA,S+4,À Vendre,4,230,930000,4
